,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_lr,params_max_grad_norm,params_n_steps,params_net_arch,params_ortho_init,params_rms_prop_eps,params_vf_coef,user_attrs_gae_lambda_,user_attrs_gamma_,user_attrs_n_steps,state
0,0,-1017.52,2023-06-13 10:05:07.666227,2023-06-13 10:06:25.333726,0 days 00:01:17.667499,relu,3.3573098509784563e-05,0.007606982754649146,0.995,0.0008922963156049014,0.33768310344159885,8,small,True,0.001607691416844654,0.4565930001132287,0.9923930172453509,0.995,8,COMPLETE
1,1,-1350.98,2023-06-13 10:06:25.335477,2023-06-13 10:07:44.493574,0 days 00:01:19.158097,relu,0.004634685545759809,0.004495162367378707,0.999,0.002126965942643235,1.155124716928947,1024,mid,False,2.9883941640503678e-05,0.8165216145760307,0.9955048376326213,0.999,1024,COMPLETE
2,2,-1114.94,2023-06-13 10:07:44.495310,2023-06-13 10:08:47.937648,0 days 00:01:03.442338,relu,7.562168481318538e-08,0.09890825938769543,0.95,0.024037916249809155,2.70870441311959,16,tiny,False,0.0001513755512083673,0.04460492888398637,0.9010917406123046,0.95,16,COMPLETE
3,3,-1289.92,2023-06-13 10:08:47.939395,2023-06-13 10:09:45.395153,0 days 00:00:57.455758,tanh,9.234071772509217e-06,0.038224278163390295,0.95,0.003821453015005588,4.653517502137935,64,small,False,1.662919224726856e-05,0.6562097976917389,0.9617757218366098,0.95,64,COMPLETE
4,4,-910.92,2023-06-13 10:09:45.396968,2023-06-13 10:11:08.568169,0 days 00:01:23.171201,tanh,6.654576110403427e-05,0.010215603297709376,0.98,1.5142883046488979e-05,0.3798904296420246,64,large,False,0.00013267867605283538,0.4997657022415469,0.9897843967022906,0.98,64,COMPLETE
5,5,-1004.94,2023-06-13 10:11:08.571960,2023-06-13 10:12:25.137531,0 days 00:01:16.565571,tanh,2.1529220113209594e-08,0.03437789707480778,0.999,0.00027024924890415035,2.9045725448094326,2048,small,False,1.2345056306811906e-05,0.7531254047876689,0.9656221029251922,0.999,2048,COMPLETE
6,6,-783.64,2023-06-13 10:12:25.139236,2023-06-13 10:13:37.420302,0 days 00:01:12.281066,relu,2.040769806375378e-07,0.005133783318530103,0.9999,0.20486780723186984,3.42457765490614,256,small,False,4.002785013781233e-05,0.8415427504625218,0.9948662166814699,0.9999,256,COMPLETE
7,7,-1219.54,2023-06-13 10:13:37.422203,2023-06-13 10:15:05.933449,0 days 00:01:28.511246,tanh,0.003936957840088112,0.0031900246071242147,0.98,0.005380172116020863,0.33083284876423336,8,small,True,0.00012537306269121186,0.48232235864938555,0.9968099753928757,0.98,8,COMPLETE
8,8,-1047.74,2023-06-13 10:15:05.935183,2023-06-13 10:16:10.199458,0 days 00:01:04.264275,relu,1.471181836366191e-06,0.03943085503736858,0.9,0.00015210800342931974,0.5967489091632273,64,tiny,False,0.00016028869472713985,0.51028280844241,0.9605691449626315,0.9,64,COMPLETE
9,9,-703.18,2023-06-13 10:16:10.201246,2023-06-13 10:17:12.839731,0 days 00:01:02.638485,tanh,1.0976520036433521e-08,0.041932683529854985,0.995,0.05065679629918241,0.8817992152329032,256,small,False,0.00013795922905037993,0.1094309442965743,0.958067316470145,0.995,256,COMPLETE
10,10,-1108.68,2023-06-13 10:17:12.841772,2023-06-13 10:17:27.167892,0 days 00:00:14.326120,leakyRelu,1.1289259529304267e-08,0.0012658363081662777,0.995,0.6475933698901747,1.1189840556108501,128,large,True,0.0009188776185014512,0.006143878350901577,0.9987341636918338,0.995,128,PRUNED
11,11,-783.64,2023-06-13 10:17:27.169026,2023-06-13 10:18:26.444547,0 days 00:00:59.275521,leakyRelu,2.499181343563656e-07,0.1689717200818261,0.9999,0.1469750778891943,1.7961785836432365,256,small,False,0.00795690762605126,0.9987750463102232,0.8310282799181739,0.9999,256,COMPLETE
12,12,-1200.98,2023-06-13 10:18:26.446510,2023-06-13 10:18:38.894125,0 days 00:00:12.447615,tanh,4.4974876839081093e-07,0.017214955051337473,0.9999,0.06741152239819627,0.7645437084055553,256,mid,False,4.581015701342326e-05,0.22118946114341942,0.9827850449486625,0.9999,256,PRUNED
13,13,-783.64,2023-06-13 10:18:38.895275,2023-06-13 10:19:35.271599,0 days 00:00:56.376324,relu,1.0217715532271434e-08,0.015044341565617446,0.99,0.908316814845146,1.8172495015468886,256,small,False,5.0235998199076154e-05,0.2523721402301143,0.9849556584343826,0.99,256,COMPLETE
14,14,-1146.86,2023-06-13 10:19:35.273399,2023-06-13 10:19:47.644541,0 days 00:00:12.371142,leakyRelu,1.185991505774647e-07,0.0027737717321966756,0.9999,0.024132229200129765,4.40890075513111,32,small,False,0.00041624261495536543,0.9720033928527912,0.9972262282678033,0.9999,32,PRUNED
15,15,-885.3,2023-06-13 10:19:47.645702,2023-06-13 10:19:58.888448,0 days 00:00:11.242746,tanh,1.8468830398858747e-06,0.0010326059018091647,0.995,0.17960515862407828,0.7423781564772826,512,small,True,4.626835754551829e-05,0.32332499505918033,0.9989673940981908,0.995,512,PRUNED
16,16,-947.54,2023-06-13 10:19:58.890236,2023-06-13 10:20:09.078674,0 days 00:00:10.188438,relu,8.32876074379763e-08,0.0064055181634308745,0.99,0.025745811578824013,1.5718126314081515,256,tiny,False,1.1940800291574098e-05,0.6244961138928213,0.9935944818365692,0.99,256,PRUNED
